Rank,TitleLength,Age,Points,Comments
1,76,2,114,24
2,18,0,21,3
3,52,1,30,16
4,26,1,31,16
5,16,4,99,44
6,32,2,23,0
7,25,9,160,77
8,56,4,29,12
9,45,6,61,48
10,39,6,63,28
11,71,7,84,41
12,11,8,124,86
13,32,8,92,127
14,27,5,46,24
15,24,6,68,19
16,77,1,18,1
17,55,5,38,12
18,37,6,37,10
19,28,8,94,60
20,43,13,135,45
21,50,13,89,2
22,74,7,308,222
23,30,13,170,57
24,48,8,52,58
25,46,9,57,15
26,38,12,76,62
27,49,14,94,13
28,50,10,43,35
29,47,11,73,24
30,45,10,28,5
61,79,24,83,23
62,67,22,110,49
63,75,6,11,10
64,48,24,185,76
65,48,13,15,1
66,22,24,63,29
67,45,24,160,131
68,79,12,550,450
69,79,23,251,160
70,58,1,14,0
71,25,21,19,1
72,55,22,127,40
73,67,24,185,147
74,18,24,316,353
75,69,11,38,2
76,25,22,410,132
77,75,24,316,82
78,22,23,607,675
79,13,24,281,58
80,57,18,150,46
81,73,19,21,2
82,26,24,104,103
83,21,18,24,3
84,73,48,94,14
85,37,24,38,7
86,53,21,24,5
87,36,24,193,62
88,45,24,100,119
89,33,16,6,0
90,28,21,122,50
31,38,8,178,63
32,39,15,249,201
33,30,12,35,5
34,50,22,160,149
35,19,6,46,33
36,68,20,345,105
37,68,24,302,101
38,52,14,30,6
39,79,18,197,134
40,34,24,414,157
41,56,24,424,651
42,48,24,352,578
43,33,24,209,256
44,70,24,336,121
45,22,9,14,3
46,28,15,99,101
47,18,20,188,113
48,27,18,160,72
49,47,1,25,4
50,14,1,5,0
51,71,24,14,5
52,47,3,34,28
53,26,15,422,304
54,50,24,140,5
55,27,19,109,45
56,39,18,17,1
57,44,16,39,54
58,79,1,64,33
59,64,16,15,6
60,57,7,48,32
121,56,24,75,8
122,71,17,264,111
123,15,48,423,126
124,28,48,40,3
125,77,24,230,59
126,61,24,7,0
127,26,6,155,49
128,19,24,69,54
129,35,24,120,86
130,30,24,265,308
131,62,48,180,117
132,61,24,153,104
133,70,24,221,402
134,73,24,27,2
135,71,24,217,70
136,25,24,156,180
137,24,24,7,0
138,30,17,140,75
139,28,24,76,95
140,46,24,263,148
141,46,48,30,4
142,12,24,12,2
143,58,13,108,159
144,63,24,215,102
145,22,48,283,366
146,49,24,53,104
147,23,24,60,11
148,18,24,11,1
149,40,19,73,39
150,63,72,88,29
91,62,21,205,211
92,53,24,353,166
93,52,48,14,6
94,50,20,78,28
95,61,20,52,7
96,70,13,30,6
97,58,24,386,142
98,32,24,532,108
99,44,48,85,92
100,59,24,329,106
101,72,48,25,22
102,48,8,11,1
103,61,6,16,5
104,47,7,58,9
105,27,22,547,210
106,20,24,10,8
107,7,15,142,104
108,50,24,257,77
109,14,24,53,18
110,57,24,562,172
111,52,48,70,119
112,66,24,43,9
113,62,24,119,101
114,71,24,128,42
115,54,24,53,12
116,69,24,46,26
117,61,16,48,9
118,35,24,288,66
119,52,48,628,190
120,12,72,0,0
